%%  seed (769) : [-221555799 1072798020 -1212671391 1073021039 1931045093 1072836318 1307680326 1072939079 -733430118 1072840502] ...  [1072897715 -1516745219 1073490069 -1249503591 1073565969 162427435 414055967 -615143934 1998338958 73]
%%  rxid 		 txid 	 pdpid 	  doppler 	 PowerProfile(linear) 	 DelayProfile
622 	 18	 * 0.704314 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
622 	 7	 * 0.189237 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
622 	 6	 * 0.900713 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
622 	 8	 * 0.294599 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
632 	 4	 * 0.606636 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
632 	 14	 * 0.525048 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
632 	 2	 * 0.782063 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
632 	 78	 * 0.251568 *	1	3	[1]	 [0]
640 	 4	 * 0.181171 *	1	3	[0.995333 0.00466735]	 [0 1]
640 	 1	 * 0.426131 *	1	3	[0.995333 0.00466735]	 [0 1]
640 	 2	 * 0.553896 *	1	3	[0.995333 0.00466735]	 [0 1]
640 	 0	 * 0.0130856 *	1	3	[0.995333 0.00466735]	 [0 1]
641 	 14	 * 0.611933 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
641 	 13	 * 0.32442 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
641 	 3	 * 0.894221 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
641 	 12	 * 0.916347 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
644 	 6	 * 0.139158 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
644 	 9	 * 0.871975 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
644 	 4	 * 0.88813 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
644 	 2	 * 0.151201 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
654 	 9	 * 0.768889 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
654 	 14	 * 0.411787 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
654 	 13	 * 0.208754 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
654 	 12	 * 0.758214 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
658 	 14	 * 0.305798 *	1	30	[0.995333 0.00466735]	 [0 1]
658 	 18	 * 0.873582 *	1	30	[0.995333 0.00466735]	 [0 1]
658 	 8	 * 0.118193 *	1	30	[0.995333 0.00466735]	 [0 1]
658 	 13	 * 0.512723 *	1	30	[0.995333 0.00466735]	 [0 1]
667 	 18	 * 0.269898 *	1	3	[0.995333 0.00466735]	 [0 1]
667 	 8	 * 0.224903 *	1	3	[0.995333 0.00466735]	 [0 1]
667 	 6	 * 0.979676 *	1	3	[0.995333 0.00466735]	 [0 1]
667 	 7	 * 0.881897 *	1	3	[0.995333 0.00466735]	 [0 1]
669 	 18	 * 0.543978 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
669 	 7	 * 0.451733 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
669 	 11	 * 0.494072 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
669 	 274	 * 0.0250306 *	1	3	[1]	 [0]
684 	 4	 * 0.706537 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
684 	 2	 * 0.565856 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
684 	 1	 * 0.066825 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
684 	 0	 * 0.793665 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
685 	 8	 * 0.248389 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
685 	 11	 * 0.301676 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
685 	 18	 * 0.797885 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
685 	 429	 * 0.828557 *	1	3	[1]	 [0]
700 	 15	 * 0.295976 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
700 	 11	 * 0.546186 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
700 	 10	 * 0.343803 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
700 	 9	 * 0.171164 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
712 	 4	 * 0.110471 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
712 	 8	 * 0.018735 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
712 	 6	 * 0.65759 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
712 	 7	 * 0.252461 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
721 	 3	 * 0.4421 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
721 	 13	 * 0.899108 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
721 	 8	 * 0.852935 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
721 	 215	 * 0.644412 *	1	3	[1]	 [0]
722 	 11	 * 0.836031 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
722 	 20	 * 0.397942 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
722 	 19	 * 0.731325 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
722 	 18	 * 0.830313 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
731 	 15	 * 0.2992 *	1	30	[0.995333 0.00466735]	 [0 1]
731 	 9	 * 0.334688 *	1	30	[0.995333 0.00466735]	 [0 1]
731 	 10	 * 0.99538 *	1	30	[0.995333 0.00466735]	 [0 1]
731 	 11	 * 0.909871 *	1	30	[0.995333 0.00466735]	 [0 1]
739 	 3	 * 0.0534872 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
739 	 18	 * 0.700381 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
739 	 11	 * 0.958105 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
739 	 13	 * 0.967654 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
751 	 4	 * 0.229541 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
751 	 16	 * 0.177224 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
751 	 6	 * 0.276831 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
751 	 5	 * 0.72423 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
753 	 16	 * 0.0174401 *	1	3	[0.995333 0.00466735]	 [0 1]
753 	 20	 * 0.103962 *	1	3	[0.995333 0.00466735]	 [0 1]
753 	 5	 * 0.550762 *	1	3	[0.995333 0.00466735]	 [0 1]
753 	 15	 * 0.212118 *	1	3	[0.995333 0.00466735]	 [0 1]
766 	 1	 * 0.875662 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
766 	 12	 * 0.689888 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
766 	 17	 * 0.630627 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
766 	 0	 * 0.565977 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
767 	 1	 * 0.401444 *	1	30	[0.995333 0.00466735]	 [0 1]
767 	 8	 * 0.303277 *	1	30	[0.995333 0.00466735]	 [0 1]
767 	 13	 * 0.447998 *	1	30	[0.995333 0.00466735]	 [0 1]
767 	 20	 * 0.31386 *	1	30	[0.995333 0.00466735]	 [0 1]
774 	 5	 * 0.610193 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
774 	 14	 * 0.197763 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
