
%RxID  X    Y     Z  Indoor   Type   FlagsIDS (custom) : 0 Distance0 Distance1 ....
     -1.00     -1.00     -1.00     -1.00     -1.00     -1.00         0         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20
     -1.00     -1.00     -1.00     -1.00     -1.00     -1.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00
       621     30.32     18.06      1.50      0.00      2.00     35.29     35.29     35.29    969.85    969.85    969.85   1001.12   1001.12   1001.12   1030.97   1030.97   1030.97   1030.48   1030.48   1030.48   1000.16   1000.16   1000.16    969.37    969.37    969.37
       622    522.47  -1191.91      1.50      1.00      2.00   1301.39   1301.39   1301.39   1284.01   1284.01   1284.01    326.63    326.63    326.63   1073.14   1073.14   1073.14    721.00    721.00    721.00   1030.42   1030.42   1030.42    751.52    751.52    751.52
       623    260.56   1130.71      1.50      0.00      2.00   1160.34   1160.34   1160.34   1351.03   1351.03   1351.03    953.13    953.13    953.13    655.41    655.41    655.41   1267.38   1267.38   1267.38    805.29    805.29    805.29    356.90    356.90    356.90
       624   1213.43    294.40      1.50      1.00      2.00   1248.63   1248.63   1248.63    363.63    363.63    363.63   1362.22   1362.22   1362.22    839.86    839.86    839.86    639.46    639.46    639.46   1195.32   1195.32   1195.32    914.20    914.20    914.20
       625    503.88   -839.05      1.50      0.00      2.00    978.72    978.72    978.72    974.76    974.76    974.76     27.27     27.27     27.27   1004.24   1004.24   1004.24   1021.60   1021.60   1021.60    996.49    996.49    996.49   1025.39   1025.39   1025.39
       626    847.28    161.68      1.50      0.00      2.00    862.57    862.57    862.57    222.40    222.40    222.40   1084.82   1084.82   1084.82   1164.00   1164.00   1164.00    960.30    960.30    960.30   1217.49   1217.49   1217.49    785.33    785.33    785.33
       627    986.99   -539.19      1.50      1.00      2.00   1124.67   1124.67   1124.67    539.35    539.35    539.35    586.51    586.51    586.51   1147.57   1147.57   1147.57   1495.95   1495.95   1495.95    608.29    608.29    608.29   1487.23   1487.23   1487.23
       628    475.97   -832.41      1.50      0.00      2.00    958.89    958.89    958.89    983.62    983.62    983.62     41.34     41.34     41.34    976.55    976.55    976.55   1041.17   1041.17   1041.17   1024.58   1024.58   1024.58   1017.84   1017.84   1017.84
       629    303.67   -752.55      1.50      0.00      2.00    811.51    811.51    811.51   1025.29   1025.29   1025.29    226.78    226.78    226.78    811.64    811.64    811.64   1201.83   1201.83   1201.83   1201.71   1201.71   1201.71   1025.54   1025.54   1025.54
       630    539.74    156.23      1.50      0.00      2.00    561.90    561.90    561.90    486.05    486.05    486.05   1023.05   1023.05   1023.05   1468.59   1468.59   1468.59   1194.13   1194.13   1194.13   1402.55   1402.55   1402.55    710.93    710.93    710.93
       631    664.26   -588.25      1.50      0.00      2.00    887.29    887.29    887.29    677.32    677.32    677.32    322.73    322.73    322.73   1196.94   1196.94   1196.94   1192.11   1192.11   1192.11    880.70    880.70    880.70   1322.74   1322.74   1322.74
       632     34.05   -495.57      1.50      1.00      2.00    496.74    496.74    496.74   1085.65   1085.65   1085.65    595.28    595.28    595.28    649.97    649.97    649.97   1146.67   1146.67   1146.67   1462.61   1462.61   1462.61   1439.14   1439.14   1439.14
       633   1072.29    -25.38      1.50      1.00      2.00   1072.59   1072.59   1072.59     76.61     76.61     76.61   1016.98   1016.98   1016.98    928.06    928.06    928.06    988.73    988.73    988.73    943.22    943.22    943.22   1059.32   1059.32   1059.32
       634   -792.22    448.85      1.50      0.00      2.00    910.54    910.54    910.54   1493.29   1493.29   1493.29    821.59    821.59    821.59   1346.98   1346.98   1346.98    494.61    494.61    494.61    509.36    509.36    509.36   1288.49   1288.49   1288.49
       635    374.92   -878.97      1.50      0.00      2.00    955.59    955.59    955.59   1078.57   1078.57   1078.57    125.75    125.75    125.75    875.01    875.01    875.01   1057.62   1057.62   1057.62   1125.16   1125.16   1125.16    931.88    931.88    931.88
       636    -20.88    346.43      1.50      0.00      2.00    347.05    347.05    347.05   1078.05   1078.05   1078.05   1319.63   1319.63   1319.63   1303.71   1303.71   1303.71   1038.60   1038.60   1038.60    706.80    706.80    706.80    735.75    735.75    735.75
       637    569.55   -180.01      1.50      1.00      2.00    597.32    597.32    597.32    466.58    466.58    466.58    689.56    689.56    689.56   1441.73   1441.73   1441.73   1399.99   1399.99   1399.99   1156.02   1156.02   1156.02   1048.37   1048.37   1048.37
       638  -1203.10   -128.60      1.50      1.00      2.00   1209.95   1209.95   1209.95    794.97    794.97    794.97   1038.02   1038.02   1038.02   1018.91   1018.91   1018.91    240.39    240.39    240.39   1218.06   1218.06   1218.06    807.21    807.21    807.21
       639     11.52   -337.78      1.50      1.00      2.00    337.98    337.98    337.98   1044.60   1044.60   1044.60    719.50    719.50    719.50    735.34    735.34    735.34   1066.43   1066.43   1066.43   1308.00   1308.00   1308.00   1299.16   1299.16   1299.16
       640    393.28     33.99      1.50      0.00      2.00    394.74    394.74    394.74    607.67    607.67    607.67    906.35    906.35    906.35   1268.08   1268.08   1268.08   1393.69   1393.69   1393.69   1220.76   1220.76   1220.76    838.87    838.87    838.87
       641   -940.79     91.72      1.50      1.00      2.00    945.25    945.25    945.25   1109.07   1109.07   1109.07    955.14    955.14    955.14   1054.34   1054.34   1054.34    109.17    109.17    109.17    891.00    891.00    891.00   1063.17   1063.17   1063.17
       642   -946.37   -662.23      1.50      0.00      2.00   1155.06   1155.06   1155.06    589.96    589.96    589.96   1460.66   1460.66   1460.66    490.70    490.70    490.70    664.40    664.40    664.40   1071.22   1071.22   1071.22   1428.37   1428.37   1428.37
       643   -277.81   -434.25      1.50      1.00      2.00    515.51    515.51    515.51   1296.23   1296.23   1296.23    889.63    889.63    889.63    485.62    485.62    485.62    842.69    842.69    842.69   1485.26   1485.26   1485.26   1327.26   1327.26   1327.26
       644    321.51   -229.70      1.50      0.00      2.00    395.14    395.14    395.14    716.31    716.31    716.31    660.91    660.91    660.91   1039.15   1039.15   1039.15   1341.33   1341.33   1341.33   1369.51   1369.51   1369.51   1110.19   1110.19   1110.19
       645   -878.74    396.97      1.50      1.00      2.00    964.24    964.24    964.24   1407.55   1407.55   1407.55    778.46    778.46    778.46   1318.58   1318.58   1318.58    415.08    415.08    415.08    602.89    602.89    602.89   1189.46   1189.46   1189.46
       646   -374.75    603.87      1.50      1.00      2.00    710.70    710.70    710.70   1289.90   1289.90   1289.90   1155.39   1155.39   1155.39   1188.84   1188.84   1188.84    869.25    869.25    869.25    290.56    290.56    290.56    913.20    913.20    913.20
       647    750.80   -865.06      1.50      1.00      2.00   1145.44   1145.44   1145.44    900.24    900.24    900.24    250.80    250.80    250.80   1250.80   1250.80   1250.80    902.14    902.14    902.14    749.20    749.20    749.20   1146.93   1146.93   1146.93
       648   -525.70   -656.55      1.50      1.00      2.00    841.08    841.08    841.08    996.57    996.57    996.57   1046.88   1046.88   1046.88    211.07    211.07    211.07    809.95    809.95    809.95   1175.49   1175.49   1175.49   1197.15   1197.15   1197.15
       649   -815.45   -249.71      1.50      0.00      2.00    852.83    852.83    852.83    921.13    921.13    921.13   1309.02   1309.02   1309.02    692.38    692.38    692.38    310.50    310.50    310.50   1159.49   1159.49   1159.49   1210.58   1210.58   1210.58
       650   -861.03    136.92      1.50      1.00      2.00    871.85    871.85    871.85   1189.22   1189.22   1189.22    969.49    969.49    969.49   1065.97   1065.97   1065.97    195.09    195.09    195.09    813.61    813.61    813.61   1147.17   1147.17   1147.17
       651   1332.60     -7.41      1.50      0.00      2.00   1332.62   1332.62   1332.62    332.68    332.68    332.68   1196.02   1196.02   1196.02    667.44    667.44    667.44    889.36    889.36    889.36    874.80    874.80    874.80   1206.71   1206.71   1206.71
       652    446.53   1108.25      1.50      1.00      2.00   1194.83   1194.83   1194.83   1238.77   1238.77   1238.77    833.98    833.98    833.98    767.19    767.19    767.19   1080.95   1080.95   1080.95    977.03    977.03    977.03    248.03    248.03    248.03
       653   1008.65   -146.15      1.50      0.00      2.00   1019.18   1019.18   1019.18    146.41    146.41    146.41    881.46    881.46    881.46   1002.07   1002.07   1002.07   1125.16   1125.16   1125.16    871.59    871.59    871.59   1132.82   1132.82   1132.82
       654   -929.82    114.13      1.50      1.00      2.00    936.80    936.80    936.80   1133.95   1133.95   1133.95    943.66    943.66    943.66   1070.28   1070.28   1070.28    133.98    133.98    133.98    866.10    866.10    866.10   1076.25   1076.25   1076.25
       655     64.93   -579.23      1.50      1.00      2.00    582.86    582.86    582.86   1099.94   1099.94   1099.94    521.10    521.10    521.10    633.57    633.57    633.57   1484.40   1484.40   1484.40   1463.45   1463.45   1463.45   1154.69   1154.69   1154.69
       656   -120.40   -810.50      1.50      0.00      2.00    819.39    819.39    819.39   1380.72   1380.72   1380.72    622.88    622.88    622.88    383.64    383.64    383.64   1196.08   1196.08   1196.08   1273.99   1273.99   1273.99    929.44    929.44    929.44
       657   -572.81   -595.89      1.50      1.00      2.00    826.56    826.56    826.56    965.75    965.75    965.75   1106.31   1106.31   1106.31    279.81    279.81    279.81    733.19    733.19    733.19   1213.87   1213.87   1213.87   1272.44   1272.44   1272.44
       658    970.26    964.08      1.50      0.00      2.00   1367.79   1367.79   1367.79    964.54    964.54    964.54    768.60    768.60    768.60   1237.44   1237.44   1237.44    538.74    538.74    538.74   1473.52   1473.52   1473.52    480.37    480.37    480.37
       659   -376.80  -1121.02      1.50      0.00      2.00   1182.65   1182.65   1182.65   1151.77   1151.77   1151.77    913.12    913.12    913.12    283.17    283.17    283.17   1282.60   1282.60   1282.60    872.81    872.81    872.81    717.92    717.92    717.92
       660    193.97    248.50      1.50      1.00      2.00    315.24    315.24    315.24    843.47    843.47    843.47   1155.81   1155.81   1155.81   1312.94   1312.94   1312.94   1219.55   1219.55   1219.55    928.95    928.95    928.95    689.22    689.22    689.22
