%%  seed (769) : [1629106838 1072886530 -17904409 1073009540 605804910 1073686347 876516458 1073050558 427874215 1073311450] ...  [1073507068 -550700992 1072962471 922832550 1072793213 -223741730 1962186939 -254293707 -465177325 377]
%%  rxid 		 txid 	 pdpid 	  doppler 	 PowerProfile(linear) 	 DelayProfile
624 	 18	 * 0.166154 *	1	3	[0.995333 0.00466735]	 [0 1]
624 	 11	 * 0.396091 *	1	3	[0.995333 0.00466735]	 [0 1]
624 	 0	 * 0.454927 *	1	3	[0.995333 0.00466735]	 [0 1]
624 	 19	 * 0.556855 *	1	3	[0.995333 0.00466735]	 [0 1]
639 	 15	 * 0.695493 *	1	3	[0.995333 0.00466735]	 [0 1]
639 	 19	 * 0.202841 *	1	3	[0.995333 0.00466735]	 [0 1]
639 	 10	 * 0.538875 *	1	3	[0.995333 0.00466735]	 [0 1]
639 	 11	 * 0.00352844 *	1	3	[0.995333 0.00466735]	 [0 1]
651 	 17	 * 0.427204 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
651 	 19	 * 0.554006 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
651 	 0	 * 0.602875 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
651 	 22	 * 0.557418 *	1	3	[1]	 [0]
653 	 14	 * 0.759553 *	1	3	[0.995333 0.00466735]	 [0 1]
653 	 13	 * 0.740169 *	1	3	[0.995333 0.00466735]	 [0 1]
653 	 1	 * 0.0810111 *	1	3	[0.995333 0.00466735]	 [0 1]
653 	 12	 * 0.909665 *	1	3	[0.995333 0.00466735]	 [0 1]
661 	 4	 * 0.295229 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
661 	 16	 * 0.695961 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
661 	 15	 * 0.286202 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
661 	 17	 * 0.597887 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
667 	 11	 * 0.801975 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
667 	 6	 * 0.54929 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
667 	 7	 * 0.831719 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
667 	 8	 * 0.745818 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
673 	 18	 * 0.379821 *	1	30	[0.995333 0.00466735]	 [0 1]
673 	 11	 * 0.681687 *	1	30	[0.995333 0.00466735]	 [0 1]
673 	 0	 * 0.152624 *	1	30	[0.995333 0.00466735]	 [0 1]
673 	 19	 * 0.407919 *	1	30	[0.995333 0.00466735]	 [0 1]
678 	 12	 * 0.756691 *	1	30	[0.995333 0.00466735]	 [0 1]
678 	 14	 * 0.785085 *	1	30	[0.995333 0.00466735]	 [0 1]
678 	 8	 * 0.200983 *	1	30	[0.995333 0.00466735]	 [0 1]
678 	 13	 * 0.753216 *	1	30	[0.995333 0.00466735]	 [0 1]
679 	 4	 * 0.114073 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
679 	 20	 * 0.230026 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
679 	 0	 * 0.43434 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
679 	 23	 * 0.974356 *	1	3	[1]	 [0]
682 	 14	 * 0.11151 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
682 	 4	 * 0.281993 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
682 	 9	 * 0.875579 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
682 	 2	 * 0.564456 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
687 	 0	 * 0.288696 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
687 	 18	 * 0.0136464 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
687 	 19	 * 0.418239 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
687 	 20	 * 0.534065 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
697 	 12	 * 0.686661 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
697 	 7	 * 0.30498 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
697 	 6	 * 0.870303 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
697 	 8	 * 0.424356 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
720 	 15	 * 0.356858 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
720 	 10	 * 0.964742 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
720 	 3	 * 0.0410981 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
720 	 6	 * 0.0829807 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
723 	 20	 * 0.23647 *	1	3	[0.995333 0.00466735]	 [0 1]
723 	 15	 * 0.645786 *	1	3	[0.995333 0.00466735]	 [0 1]
723 	 13	 * 0.575081 *	1	3	[0.995333 0.00466735]	 [0 1]
723 	 19	 * 0.901816 *	1	3	[0.995333 0.00466735]	 [0 1]
727 	 1	 * 0.758882 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
727 	 0	 * 0.0522947 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
727 	 2	 * 0.811962 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
727 	 71	 * 0.989343 *	1	3	[1]	 [0]
728 	 4	 * 0.0464835 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
728 	 5	 * 0.766426 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
728 	 6	 * 0.722779 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
728 	 153	 * 0.0709006 *	1	3	[1]	 [0]
734 	 5	 * 0.677363 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
734 	 6	 * 0.878647 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
734 	 7	 * 0.351898 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
734 	 8	 * 0.388246 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
737 	 12	 * 0.171803 *	1	3	[0.995333 0.00466735]	 [0 1]
737 	 9	 * 0.780202 *	1	3	[0.995333 0.00466735]	 [0 1]
737 	 1	 * 0.369127 *	1	3	[0.995333 0.00466735]	 [0 1]
737 	 14	 * 0.747145 *	1	3	[0.995333 0.00466735]	 [0 1]
739 	 18	 * 0.530215 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
739 	 8	 * 0.202552 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
739 	 13	 * 0.559624 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
739 	 307	 * 0.204174 *	1	3	[1]	 [0]
741 	 13	 * 0.798277 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
741 	 20	 * 0.786004 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
741 	 19	 * 0.847378 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
741 	 18	 * 0.243696 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
747 	 5	 * 0.0754045 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
747 	 3	 * 0.897915 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
747 	 6	 * 0.413606 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
747 	 4	 * 0.756478 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
754 	 19	 * 0.645532 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
754 	 16	 * 0.397445 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
754 	 17	 * 0.706506 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
754 	 15	 * 0.315788 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
761 	 6	 * 0.198949 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
761 	 5	 * 0.375412 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
761 	 16	 * 0.462522 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
761 	 376	 * 0.722906 *	1	3	[1]	 [0]
768 	 4	 * 0.793919 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
768 	 3	 * 0.660639 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
768 	 5	 * 0.155638 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
768 	 129	 * 0.175735 *	1	3	[1]	 [0]
772 	 13	 * 0.436027 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
772 	 3	 * 0.219908 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
772 	 18	 * 0.0192839 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
772 	 418	 * 0.432935 *	1	3	[1]	 [0]
773 	 10	 * 0.361832 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
773 	 12	 * 0.284572 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
773 	 16	 * 0.677529 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
773 	 377	 * 0.594868 *	1	3	[1]	 [0]
774 	 17	 * 0.499932 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
774 	 2	 * 0.0596063 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
774 	 1	 * 0.691427 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
774 	 0	 * 0.504835 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
778 	 2	 * 0.209964 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
778 	 8	 * 0.732183 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
778 	 7	 * 0.434841 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
778 	 6	 * 0.827529 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
786 	 17	 * 0.235125 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
786 	 2	 * 0.446571 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
786 	 1	 * 0.417453 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
786 	 0	 * 0.213384 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
788 	 0	 * 0.728443 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
788 	 18	 * 0.236835 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
788 	 20	 * 0.148441 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
788 	 19	 * 0.785331 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
791 	 14	 * 0.328469 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
791 	 13	 * 0.517825 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
791 	 18	 * 0.948191 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
791 	 12	 * 0.928847 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
795 	 18	 * 0.517114 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
795 	 6	 * 0.16331 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
795 	 4	 * 0.738018 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
795 	 116	 * 0.611287 *	1	3	[1]	 [0]
796 	 7	 * 0.243268 *	1	3	[0.995333 0.00466735]	 [0 1]
796 	 10	 * 0.321735 *	1	3	[0.995333 0.00466735]	 [0 1]
796 	 9	 * 0.266047 *	1	3	[0.995333 0.00466735]	 [0 1]
796 	 11	 * 0.521479 *	1	3	[0.995333 0.00466735]	 [0 1]
800 	 10	 * 0.916649 *	1	3	[1]	 [0]
800 	 8	 * 0.369977 *	1	3	[1]	 [0]
800 	 9	 * 0.10416 *	1	3	[1]	 [0]
800 	 12	 * 0.233149 *	1	3	[1]	 [0]
810 	 1	 * 0.902537 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
810 	 8	 * 0.437975 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
810 	 3	 * 0.622345 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
810 	 14	 * 0.717421 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
823 	 2	 * 0.708302 *	1	30	[0.995333 0.00466735]	 [0 1]
823 	 4	 * 0.945602 *	1	30	[0.995333 0.00466735]	 [0 1]
823 	 5	 * 0.582031 *	1	30	[0.995333 0.00466735]	 [0 1]
823 	 6	 * 0.0922457 *	1	30	[0.995333 0.00466735]	 [0 1]
