%%  seed (769) : [1565508328 1073660150 1395889105 1073539080 -143158687 1073029186 1397247613 1072781684 -1883071040 1072699929] ...  [1073460463 -56172066 1073298588 793429205 1072839592 -660985193 -1983540964 -1880642558 -93323074 363]
%%  rxid 		 txid 	 pdpid 	  doppler 	 PowerProfile(linear) 	 DelayProfile
623 	 0	 * 0.256756 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
623 	 2	 * 0.726795 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
623 	 12	 * 0.710697 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
623 	 1	 * 0.133309 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
631 	 19	 * 0.993689 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
631 	 16	 * 0.851549 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
631 	 15	 * 0.861658 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
631 	 17	 * 0.676887 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
635 	 6	 * 0.947968 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
635 	 2	 * 0.975455 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
635 	 8	 * 0.151437 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
635 	 205	 * 0.096471 *	1	3	[1]	 [0]
637 	 4	 * 0.470671 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
637 	 1	 * 0.327763 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
637 	 12	 * 0.34554 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
637 	 17	 * 0.0571573 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
645 	 14	 * 0.317776 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
645 	 4	 * 0.0257115 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
645 	 9	 * 0.658074 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
645 	 229	 * 0.383386 *	1	3	[1]	 [0]
646 	 17	 * 0.352361 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
646 	 2	 * 0.203008 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
646 	 1	 * 0.169072 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
646 	 0	 * 0.803577 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
648 	 15	 * 0.488092 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
648 	 9	 * 0.558477 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
648 	 11	 * 0.915153 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
648 	 10	 * 0.437408 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
654 	 7	 * 0.476807 *	1	3	[0.995333 0.00466735]	 [0 1]
654 	 9	 * 0.557108 *	1	3	[0.995333 0.00466735]	 [0 1]
654 	 6	 * 0.476335 *	1	3	[0.995333 0.00466735]	 [0 1]
654 	 2	 * 0.060447 *	1	3	[0.995333 0.00466735]	 [0 1]
656 	 12	 * 0.365566 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
656 	 14	 * 0.219819 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
