
%RxID  X    Y     Z  Indoor   Type   FlagsIDS (custom) : 0 Distance0 Distance1 ....
     -1.00     -1.00     -1.00     -1.00     -1.00     -1.00         0         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20
     -1.00     -1.00     -1.00     -1.00     -1.00     -1.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00     40.00
       621   -358.32    771.88      1.50      0.00      2.00    851.00    851.00    851.00   1154.89   1154.89   1154.89   1145.56   1145.56   1145.56   1024.90   1024.90   1024.90   1003.77   1003.77   1003.77    170.12    170.12    170.12    863.47    863.47    863.47
       622   -155.37    -56.03      1.50      0.00      2.00    165.16    165.16    165.16   1156.73   1156.73   1156.73   1041.94   1041.94   1041.94    880.28    880.28    880.28    846.49    846.49    846.49    984.38    984.38    984.38   1131.26   1131.26   1131.26
       623   -771.16    376.09      1.50      1.00      2.00    857.99    857.99    857.99   1440.18   1440.18   1440.18    878.21    878.21    878.21   1271.40   1271.40   1271.40    440.24    440.24    440.24    559.99    559.99    559.99   1285.10   1285.10   1285.10
       624    817.01   -759.82      1.50      0.00      2.00   1115.72   1115.72   1115.72    781.55    781.55    781.55    334.34    334.34    334.34   1321.29   1321.29   1321.29    989.35    989.35    989.35    691.20    691.20    691.20   1269.97   1269.97   1269.97
       625    451.21   1253.98      1.50      0.00      2.00   1332.69   1332.69   1332.69   1368.81   1368.81   1368.81    727.85    727.85    727.85    657.41    657.41    657.41   1118.24   1118.24   1118.24   1027.27   1027.27   1027.27    390.99    390.99    390.99
       626    191.54  -1082.47      1.50      1.00      2.00   1099.28   1099.28   1099.28   1351.05   1351.05   1351.05    376.80    376.80    376.80    724.62    724.62    724.62   1037.12   1037.12   1037.12   1326.23   1326.23   1326.23    677.28    677.28    677.28
       627    997.27    -69.24      1.50      0.00      2.00    999.68    999.68    999.68     69.29     69.29     69.29    939.25    939.25    939.25   1005.11   1005.11   1005.11   1061.84   1061.84   1061.84    942.15    942.15    942.15   1059.27   1059.27   1059.27
       628    497.27    212.43      1.50      0.00      2.00    540.74    540.74    540.74    545.77    545.77    545.77   1078.48   1078.48   1078.48   1468.90   1468.90   1468.90   1512.26   1512.26   1512.26   1192.38   1192.38   1192.38    653.63    653.63    653.63
       629   -838.08    427.06      1.50      0.00      2.00    940.62    940.62    940.62   1452.67   1452.67   1452.67    794.26    794.26    794.26   1336.57   1336.57   1336.57    456.72    456.72    456.72    554.09    554.09    554.09   1237.91   1237.91   1237.91
       630    532.39   1271.04      1.50      0.00      2.00   1378.04   1378.04   1378.04   1354.33   1354.33   1354.33    656.68    656.68    656.68    704.28    704.28    704.28   1048.95   1048.95   1048.95   1108.99   1108.99   1108.99    406.29    406.29    406.29
       631   -421.60    785.06      1.50      1.00      2.00    891.11    891.11    891.11   1109.70   1109.70   1109.70   1081.43   1081.43   1081.43   1036.65   1036.65   1036.65    975.12    975.12    975.12    112.72    112.72    112.72    925.15    925.15    925.15
       632  -1070.36    336.31      1.50      0.00      2.00   1121.95   1121.95   1121.95   1276.82   1276.82   1276.82    682.07    682.07    682.07   1330.78   1330.78   1330.78    343.59    343.59    343.59    778.42    778.42    778.42    988.60    988.60    988.60
       633   -583.62   1283.94      1.50      0.00      2.00   1410.36   1410.36   1410.36    611.74    611.74    611.74   1007.17   1007.17   1007.17    735.84    735.84    735.84   1349.77   1349.77   1349.77    426.17    426.17    426.17   1161.40   1161.40   1161.40
