%%  seed (769) : [-1625701355 1073374487 1040570380 1073072844 1614925394 1072901594 -1356829551 1073182837 -1370836337 1072777753] ...  [1073005282 5458788 1072941981 580038862 1072840649 -652454757 1992541292 825206693 -449704068 97]
%%  rxid 		 txid 	 pdpid 	  doppler 	 PowerProfile(linear) 	 DelayProfile
630 	 3	 * 0.970509 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
630 	 14	 * 0.203029 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
630 	 12	 * 0.456655 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
630 	 302	 * 0.0325958 *	1	3	[1]	 [0]
632 	 19	 * 0.951491 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
632 	 0	 * 0.987967 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
632 	 17	 * 0.206956 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
632 	 411	 * 0.375657 *	1	3	[1]	 [0]
636 	 18	 * 0.579884 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
636 	 7	 * 0.0652736 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
636 	 8	 * 0.672721 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
636 	 6	 * 0.113596 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
645 	 18	 * 0.987277 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
645 	 13	 * 0.840027 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
645 	 20	 * 0.761765 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
645 	 473	 * 0.103817 *	1	3	[1]	 [0]
656 	 19	 * 0.209989 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
656 	 13	 * 0.590674 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
656 	 8	 * 0.791599 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
656 	 18	 * 0.911327 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
658 	 4	 * 0.922315 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
658 	 14	 * 0.382742 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
658 	 12	 * 0.158933 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
658 	 13	 * 0.213012 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
660 	 4	 * 0.669337 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
660 	 5	 * 0.732978 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
660 	 6	 * 0.29822 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
660 	 3	 * 0.343313 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
662 	 16	 * 0.520963 *	1	30	[0.995333 0.00466735]	 [0 1]
662 	 19	 * 0.811872 *	1	30	[0.995333 0.00466735]	 [0 1]
662 	 15	 * 0.761594 *	1	30	[0.995333 0.00466735]	 [0 1]
662 	 17	 * 0.951703 *	1	30	[0.995333 0.00466735]	 [0 1]
667 	 2	 * 0.347799 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
667 	 4	 * 0.278725 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
667 	 6	 * 0.0519838 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
667 	 171	 * 0.424649 *	1	3	[1]	 [0]
677 	 2	 * 0.552658 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
677 	 8	 * 0.648384 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
677 	 7	 * 0.263088 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
677 	 6	 * 0.525208 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
688 	 12	 * 0.755735 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
688 	 6	 * 0.871883 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
688 	 16	 * 0.753678 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
688 	 393	 * 0.723511 *	1	3	[1]	 [0]
698 	 14	 * 0.0656406 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
698 	 19	 * 0.897642 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
698 	 15	 * 0.608518 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
698 	 11	 * 0.13029 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
700 	 1	 * 0.300724 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
700 	 349	 * 0.827608 *	1	3	[1]	 [0]
700 	 10	 * 0.212158 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
700 	 260	 * 0.123441 *	1	3	[1]	 [0]
706 	 10	 * 0.548533 *	1	30	[0.995333 0.00466735]	 [0 1]
706 	 4	 * 0.562475 *	1	30	[0.995333 0.00466735]	 [0 1]
706 	 5	 * 0.872851 *	1	30	[0.995333 0.00466735]	 [0 1]
706 	 3	 * 0.511857 *	1	30	[0.995333 0.00466735]	 [0 1]
717 	 3	 * 0.307126 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
717 	 20	 * 0.525334 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
717 	 4	 * 0.475983 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
717 	 131	 * 0.663614 *	1	3	[1]	 [0]
718 	 11	 * 0.289379 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
718 	 2	 * 0.0195153 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
718 	 7	 * 0.842492 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
718 	 192	 * 0.781822 *	1	3	[1]	 [0]
728 	 2	 * 0.871387 *	1	30	[0.995333 0.00466735]	 [0 1]
728 	 18	 * 0.737697 *	1	30	[0.995333 0.00466735]	 [0 1]
728 	 12	 * 0.0514955 *	1	30	[0.995333 0.00466735]	 [0 1]
728 	 8	 * 0.530023 *	1	30	[0.995333 0.00466735]	 [0 1]
735 	 19	 * 0.178455 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
735 	 17	 * 0.229971 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
735 	 16	 * 0.205492 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
735 	 15	 * 0.551186 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
742 	 20	 * 0.352786 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
742 	 3	 * 0.418811 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
742 	 5	 * 0.715578 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
